limit_profile,index,target_wavelength_nm,measured_wavelength_nm,wavelength_error_pm,target_power_mw,measured_power_mw,power_error_percent,smsr_db,peak_count,single_mode_pass,gain_ma,soa_ma,phase_ma,wavelength_a_ma,wavelength_b_ma,gain_code,soa_code,phase_code,wavelength_a_code,wavelength_b_code,pdt_reference_code,pdr_reference_code,power_feedback_channel,power_feedback_reference_code,power_feedback_rail_margin_code,power_feedback_hardware_eligible,guard_stage_count,guard_hold_ms_per_stage
fullband_2001_145mA_v1,0,1525.000000,1524.99891000,-1.090000,2.056000,2.038140369,-0.868659,33.099091,159,1,144.998932,122.250366,3.558960,0.050049,7.550049,63351,53412,11662,41,6185,,,,0,0,0,0,0
fullband_2001_145mA_v1,1,1525.020000,1525.01875000,-1.250000,2.056000,2.059670136,0.178509,34.346610,130,1,144.998932,121.131134,3.258057,0.034180,7.482910,63351,52923,10676,28,6130,,,,0,0,0,0,0
fullband_2001_145mA_v1,2,1525.040000,1525.03804000,-1.960000,2.056000,2.060373650,0.212726,24.524225,138,1,144.998932,124.861908,2.902222,0.000000,7.592773,63351,54553,9510,0,6220,,,,0,0,0,0,0
fullband_2001_145mA_v1,3,1525.060000,1525.05961000,-0.390000,2.056000,2.060844564,0.235631,34.093284,168,1,144.998932,128.160095,2.595215,0.000000,7.448730,63351,55994,8504,0,6102,,,,0,0,0,0,0
fullband_2001_145mA_v1,4,1525.080000,1525.07876000,-1.240000,2.056000,2.058757603,0.134125,30.050559,163,1,144.998932,131.705475,2.311401,0.000000,7.166748,63351,57543,7574,0,5871,,,,0,0,0,0,0
fullband_2001_145mA_v1,5,1525.100000,1525.09936000,-0.640000,2.056000,2.060390216,0.213532,31.063855,141,1,144.998932,134.456635,2.000122,19.415283,7.373047,63351,58745,6554,15905,6040,,,,0,0,0,0,0
fullband_2001_145mA_v1,6,1525.120000,1525.11933000,-0.670000,2.056000,2.052472831,-0.171555,33.699667,147,1,144.998932,137.107086,6.000061,19.454346,7.344971,63351,59903,19661,15937,6017,,,,0,0,0,0,0
fullband_2001_145mA_v1,7,1525.140000,1525.13815000,-1.850000,2.056000,2.057108904,0.053935,32.764506,148,1,144.998932,139.805603,6.000061,19.384766,7.087402,63351,61082,19661,15880,5806,,,,0,0,0,0,0
fullband_2001_145mA_v1,8,1525.160000,1525.15972000,-0.280000,2.056000,2.055744576,-0.012423,26.673325,152,1,144.998932,137.216949,6.000061,19.068604,6.872559,63351,59951,19661,15621,5630,,,,0,0,0,0,0
fullband_2001_145mA_v1,9,1525.180000,1525.17808000,-1.920000,2.056000,2.040029666,-0.776767,31.610866,174,1,144.998932,129.501343,6.466370,17.998047,6.005859,63351,56580,21189,14744,4920,,,,0,0,0,0,0
